top1_class,top2_class
0,4
14,0
18,4
0,11
2,0
0,18
12,5
0,2
0,2
0,20
4,0
1,14
1,0
1,10
1,5
1,0
1,14
1,14
21,19
1,0
2,0
2,14
2,26
2,13
2,0
5,2
17,1
2,18
2,0
14,5
3,1
14,3
3,4
3,4
3,4
3,19
4,3
20,4
18,24
4,20
4,18
4,3
2,0
4,3
4,18
4,20
5,14
5,6
5,19
5,14
5,14
5,1
5,14
5,4
5,1
5,1
5,14
13,6
5,10
6,10
6,10
6,10
6,10
5,6
6,1
6,1
1,5
8,7
8,7
8,7
8,7
8,9
8,7
7,8
8,9
8,7
7,8
8,7
8,7
8,7
8,9
7,8
8,7
9,8
9,8
9,8
9,8
7,8
9,8
9,8
9,8
9,8
9,8
6,1
10,6
10,6
10,6
10,5
10,13
10,6
10,6
10,6
11,12
12,11
11,18
11,17
17,11
11,12
11,18
11,12
11,17
12,21
12,11
11,21
12,11
11,21
12,5
11,21
13,10
13,16
13,16
13,14
13,16
13,6
13,16
14,6
6,10
14,13
14,5
14,5
5,14
14,5
14,5
15,21
15,16
15,24
15,0
15,19
15,20
16,13
16,25
16,13
16,14
16,13
16,9
16,13
16,13
8,20
17,18
24,17
17,24
11,17
17,11
11,17
21,17
17,11
18,24
18,20
18,20
18,20
18,4
18,17
18,17
18,17
18,20
18,20
18,26
19,11
19,22
20,24
19,3
24,21
19,23
22,23
19,16
18,20
20,17
4,18
20,4
18,20
18,20
18,24
18,17
18,19
21,12
21,24
21,12
21,12
17,20
11,12
21,12
21,12
21,12
20,17
22,19
23,18
22,20
14,1
3,19
13,26
22,4
24,22
2,24
22,19
23,22
13,24
23,22
23,22
23,20
23,19
24,21
24,20
20,13
24,18
24,21
21,22
25,26
25,26
25,13
25,26
25,16
25,16
25,19
25,26
25,16
25,15
25,15
25,16
26,2
26,15
26,2
26,0
26,2
26,18
26,2
25,26
