top1_class,top2_class
0,4
0,2
18,4
0,18
26,20
0,18
5,24
0,2
0,11
0,18
0,4
1,14
1,0
1,10
1,5
1,14
1,5
1,10
16,1
1,0
2,0
2,0
2,13
2,26
2,10
2,0
2,17
2,4
2,0
19,3
3,1
14,3
3,6
3,4
3,10
3,19
3,4
20,18
4,0
20,18
4,18
4,3
0,2
4,3
18,20
20,4
5,14
5,8
5,24
5,14
14,5
5,11
5,6
5,0
1,5
1,5
5,10
6,13
5,1
6,13
6,10
6,10
6,1
5,0
1,10
1,6
1,6
8,7
8,7
7,8
8,9
8,7
7,8
7,8
8,7
7,8
7,8
8,7
7,8
8,7
8,7
7,8
8,7
9,8
9,7
9,8
9,8
7,8
9,8
9,8
9,8
9,8
9,8
1,6
10,6
10,6
10,1
10,1
10,6
10,6
10,1
10,6
11,12
12,21
11,18
11,17
11,17
11,12
11,18
11,17
11,12
24,21
12,11
11,21
12,11
11,12
12,11
11,12
13,1
13,16
13,14
14,13
13,1
13,6
13,25
1,6
13,3
13,14
5,1
14,5
5,14
5,14
14,5
15,16
15,1
15,1
15,0
15,19
15,25
16,13
16,25
16,13
16,1
16,13
16,9
16,9
16,13
18,17
18,21
17,20
17,20
17,11
17,11
11,17
21,17
17,20
18,24
18,20
18,20
18,20
18,20
18,11
18,17
18,17
18,20
18,11
18,26
19,14
19,13
24,19
3,14
24,20
19,22
3,23
19,25
18,20
20,17
4,20
20,4
18,4
20,18
18,24
18,17
18,19
21,11
21,22
21,24
21,12
20,17
21,11
12,21
21,20
21,11
17,11
14,5
23,19
22,23
22,1
3,19
13,20
14,22
24,19
18,24
19,24
23,22
13,23
23,18
23,22
23,18
23,24
24,11
24,20
15,20
24,11
24,21
24,20
25,16
25,16
25,13
25,13
25,16
25,16
25,15
25,6
25,16
25,15
25,15
25,16
26,2
26,13
26,25
26,0
26,25
26,13
26,2
25,26
