top1_class,top2_class
0,4
14,24
18,11
0,18
26,2
0,2
5,0
0,2
0,1
0,18
4,0
1,14
1,0
1,10
1,5
1,14
1,5
1,14
16,19
1,0
2,0
2,0
2,0
2,26
2,0
2,0
2,1
2,4
2,0
14,3
5,3
14,19
3,14
4,3
3,4
3,19
4,10
4,20
18,24
4,20
4,18
4,3
4,0
4,3
4,3
4,20
5,14
5,6
5,1
5,14
5,14
5,1
5,14
5,24
1,5
1,5
5,14
6,13
5,1
6,10
6,10
6,10
6,10
5,6
1,6
6,1
1,10
8,7
8,7
7,8
8,7
8,7
7,8
7,8
8,9
8,7
7,8
8,7
7,8
8,7
8,7
8,7
8,7
9,8
9,8
9,8
9,8
7,8
9,8
9,8
9,8
9,8
9,8
6,1
10,6
10,6
10,6
10,1
10,6
10,6
10,1
10,6
12,11
12,24
11,12
17,11
11,17
12,11
11,12
11,12
11,12
21,12
12,21
11,21
12,21
11,12
12,5
12,11
13,16
13,16
13,14
13,14
13,14
13,14
13,16
6,14
14,5
14,13
14,5
14,5
14,1
14,5
14,16
15,22
15,1
15,1
15,0
15,22
15,24
16,13
16,25
16,25
16,1
16,13
16,6
16,6
16,6
24,17
18,17
17,24
24,13
17,11
17,11
11,17
21,12
17,20
18,24
18,20
18,20
18,8
18,4
18,17
18,17
18,17
18,20
18,20
18,20
19,13
19,22
24,20
19,3
24,19
19,23
22,19
19,22
18,20
20,11
4,18
20,4
18,20
20,18
18,20
1,18
18,19
21,12
24,21
21,12
21,12
17,20
21,12
12,21
21,20
12,21
24,17
22,19
22,23
22,15
22,24
3,12
13,20
4,18
24,21
24,18
22,19
23,22
23,13
23,22
23,22
23,22
23,24
24,21
24,11
13,15
17,20
24,21
18,20
25,16
25,16
25,16
25,0
25,16
25,16
25,19
25,26
25,16
25,26
25,15
25,16
26,2
26,2
26,2
26,0
26,2
26,25
26,2
25,26
