top1_class,top2_class
0,2
14,1
18,20
0,1
26,2
18,0
5,0
0,2
0,1
0,18
1,6
1,0
1,6
1,13
1,14
1,0
1,14
1,6
19,21
1,0
2,0
2,0
2,4
2,26
2,14
2,0
2,0
2,9
2,0
14,5
3,1
14,3
3,24
3,4
3,4
3,10
3,4
20,4
4,24
20,4
4,18
4,3
0,2
3,4
20,18
20,26
5,14
5,8
5,1
5,14
14,5
5,13
5,14
5,4
1,5
1,5
5,14
6,13
1,5
6,13
6,13
6,13
1,6
5,1
1,6
6,1
1,6
8,7
8,7
7,8
8,9
8,7
8,7
7,8
8,9
8,7
7,9
8,7
7,8
8,7
8,9
7,8
8,7
9,8
9,8
9,8
9,8
7,8
9,8
9,18
9,13
9,8
9,8
1,6
10,6
10,6
10,5
10,1
10,1
6,10
10,6
10,6
12,11
12,11
11,12
17,11
11,17
11,12
11,20
11,17
11,0
21,12
12,11
21,11
12,11
11,0
12,11
11,12
13,6
13,16
13,14
13,14
13,1
13,6
13,25
14,26
14,13
13,14
14,3
14,5
14,5
14,5
14,16
15,22
15,25
15,5
15,0
15,19
15,22
16,13
16,20
16,25
16,13
16,13
16,13
16,13
16,13
17,24
17,21
17,24
17,20
17,11
17,21
11,17
21,12
17,11
24,18
17,18
18,17
18,20
18,20
17,18
18,17
18,17
18,20
18,20
18,24
19,13
19,5
24,19
3,19
19,22
19,24
22,23
25,19
18,20
20,17
4,2
20,4
17,18
20,18
18,20
17,18
18,14
21,12
21,12
21,12
21,12
21,11
21,12
12,21
21,24
21,12
17,20
22,5
22,23
22,23
22,0
3,22
26,13
22,4
22,24
2,0
22,19
22,23
23,24
23,22
23,22
23,17
23,24
24,17
24,17
22,26
24,17
24,5
24,21
25,26
25,26
25,13
25,1
25,26
25,13
25,26
25,26
25,16
25,26
25,26
25,16
26,2
26,25
26,2
26,25
26,15
26,2
26,2
25,26
