top1_class,top2_class
0,4
14,0
0,18
0,11
2,0
0,18
0,5
0,2
0,4
0,20
0,4
1,14
1,6
1,10
1,5
1,14
1,5
1,6
21,19
0,1
2,0
2,0
2,0
2,26
2,0
2,0
2,0
2,18
2,0
14,3
3,14
14,5
3,4
3,4
3,4
3,4
3,4
18,20
4,20
20,4
4,18
4,0
2,4
4,3
18,20
4,18
5,14
5,16
5,1
5,14
5,14
5,10
5,14
5,0
1,5
1,5
5,14
6,10
10,5
6,10
6,10
6,10
10,6
5,2
1,0
6,0
6,1
8,7
8,7
7,8
7,8
8,7
7,8
7,8
8,9
7,8
7,8
8,7
7,8
8,7
8,9
7,8
8,7
9,8
9,7
9,8
8,9
7,8
9,7
9,8
9,8
9,20
9,8
6,1
10,6
10,6
10,6
10,6
10,6
10,6
10,6
10,6
12,11
12,11
11,17
17,11
11,17
11,12
11,12
11,17
11,12
12,11
12,11
11,21
12,11
11,12
12,11
12,11
13,16
13,16
13,16
13,14
13,1
13,6
13,16
26,18
10,6
13,14
14,5
14,5
14,5
14,5
14,19
15,24
15,1
15,20
15,7
15,14
15,0
16,13
16,14
16,14
16,14
16,13
16,13
16,13
16,13
20,8
20,24
17,20
17,24
17,11
17,11
17,11
21,17
17,20
24,11
18,20
18,20
18,20
18,20
18,20
18,20
18,17
18,20
18,11
18,20
19,11
19,24
20,24
3,4
14,24
19,13
19,22
19,24
18,20
20,17
4,20
20,0
18,20
20,18
18,20
18,4
18,19
21,12
21,12
21,12
21,12
20,18
12,21
12,11
21,24
12,21
20,17
22,19
23,22
20,24
22,4
3,4
13,24
22,4
21,22
24,22
19,24
23,22
19,13
23,22
23,22
23,24
23,24
24,21
24,20
20,7
20,11
24,21
21,24
25,16
25,26
13,25
25,26
25,16
25,13
25,26
25,26
25,16
25,26
25,16
25,16
26,2
2,0
26,2
26,25
26,25
26,2
26,2
26,25
