top1_class,top2_class
0,4
14,24
11,18
0,11
26,2
0,18
5,0
0,2
0,2
0,18
4,3
1,14
1,0
1,10
1,5
1,14
1,5
1,5
16,3
1,0
2,6
2,0
2,26
26,25
2,4
2,5
17,0
2,4
2,0
14,4
14,5
14,3
3,4
3,4
3,10
3,4
3,4
20,18
4,18
4,20
4,18
4,3
4,0
4,3
4,20
4,18
5,14
5,19
5,14
5,14
5,14
5,11
5,14
5,4
5,1
5,1
5,14
6,10
5,6
6,10
6,10
6,10
6,1
5,10
5,1
6,0
14,5
8,9
8,7
7,8
7,8
8,9
8,7
7,8
9,8
7,8
7,8
8,7
7,8
8,7
8,7
7,8
8,7
9,8
9,7
9,8
9,8
7,8
9,8
9,8
9,8
9,8
9,8
6,5
10,6
10,6
10,6
10,5
10,5
10,6
10,6
10,6
12,11
12,11
11,12
17,11
17,11
11,12
11,12
11,17
11,17
21,12
12,11
11,21
21,12
11,20
12,11
11,21
13,6
13,16
13,16
13,14
13,1
13,14
13,16
14,11
6,5
14,13
5,14
14,5
14,5
14,5
14,5
24,15
15,25
15,3
15,11
15,22
22,3
16,8
16,14
16,14
16,14
16,25
16,8
16,13
16,8
17,18
17,18
17,11
8,20
17,11
17,20
11,17
21,17
17,18
18,24
18,17
18,11
18,20
18,26
18,17
18,17
18,17
18,20
17,18
18,20
19,13
22,16
20,24
3,14
24,20
19,23
22,3
19,20
18,20
20,4
4,2
20,4
18,17
18,20
18,24
1,18
18,19
21,12
21,12
21,12
21,12
17,18
12,11
11,12
21,24
21,12
17,11
19,23
23,19
22,19
22,14
3,19
24,23
22,4
22,21
0,22
22,24
23,22
23,3
23,19
23,22
23,22
23,24
24,11
24,20
13,23
4,9
24,21
17,24
25,26
25,26
25,13
25,6
25,16
25,13
25,19
25,14
25,1
25,26
25,16
25,16
26,2
0,26
26,2
26,25
26,25
26,25
26,18
1,25
