top1_class,top2_class
0,4
14,0
18,20
0,26
2,26
18,0
5,12
0,2
0,26
0,18
4,26
1,14
1,6
1,10
1,5
1,0
1,5
1,6
16,3
1,0
2,0
2,4
2,4
26,2
2,4
2,0
2,0
2,4
2,0
19,14
3,5
14,19
3,4
4,3
3,4
3,19
4,3
4,18
4,18
20,4
4,18
4,20
4,0
4,3
4,18
18,4
5,1
5,6
5,14
5,14
14,5
5,11
5,11
5,24
5,1
1,5
5,14
6,10
5,10
6,10
6,10
6,10
10,6
5,0
1,6
6,1
5,10
8,7
8,7
8,7
8,7
8,9
8,7
7,8
8,9
7,8
7,8
8,7
7,8
8,7
7,8
7,8
8,7
9,8
9,8
9,8
9,8
7,8
9,8
9,8
9,8
9,8
9,8
6,10
10,6
10,6
10,5
10,5
10,5
10,6
10,4
10,6
11,12
12,11
11,18
17,11
17,11
11,12
11,20
2,11
11,0
21,12
12,11
11,21
12,11
11,21
12,11
11,12
13,16
13,16
13,16
13,14
13,1
13,1
13,16
12,11
14,5
13,14
14,5
14,5
14,5
14,5
14,16
15,21
15,1
15,0
15,0
15,19
15,25
16,13
16,25
16,25
16,18
16,13
16,9
16,7
16,13
20,17
17,18
17,11
20,24
17,11
17,20
11,17
21,17
17,20
18,24
18,20
18,11
18,11
18,4
18,17
18,17
18,17
18,26
18,20
18,26
19,14
19,22
20,19
3,19
24,19
19,14
22,23
19,20
18,20
20,17
4,20
4,20
18,11
20,18
18,21
18,17
18,19
21,12
21,12
21,12
21,12
17,11
21,11
21,12
21,20
12,21
17,20
23,19
23,22
22,24
22,0
3,4
20,24
22,4
22,19
22,0
19,22
23,22
23,13
23,19
23,24
23,22
23,24
24,11
24,11
13,16
17,20
24,21
21,20
25,26
25,26
25,13
25,26
25,16
25,13
25,19
25,26
25,26
25,26
25,26
25,16
26,2
26,0
26,2
26,0
26,25
26,2
26,2
26,25
