top1_class,top2_class
0,4
9,14
18,0
0,11
2,26
0,18
0,12
0,5
0,2
0,18
4,24
1,0
1,0
1,10
1,5
1,0
1,5
1,10
19,16
1,0
2,20
2,14
2,13
26,13
2,0
2,0
2,11
2,4
2,0
19,14
3,14
3,14
3,10
4,3
3,4
3,19
3,4
20,4
9,0
4,20
4,18
4,3
4,0
3,4
4,18
18,20
5,14
5,6
5,14
5,14
5,14
5,10
5,14
5,0
5,1
1,5
5,14
6,13
5,10
6,10
6,10
6,10
6,10
5,10
1,10
6,1
1,10
8,7
8,7
7,8
8,9
8,7
8,7
7,8
8,9
8,7
7,8
8,7
8,7
8,7
7,8
7,8
8,7
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,8
6,1
10,6
10,6
10,6
10,1
10,6
10,6
10,1
10,6
11,12
12,11
11,12
17,11
17,11
11,12
11,18
12,11
11,17
12,21
12,11
11,21
12,11
11,12
12,5
11,12
13,6
13,16
13,16
13,14
13,1
13,6
13,16
14,4
3,14
13,14
14,5
14,5
14,5
14,5
14,11
15,24
15,16
15,3
15,10
15,19
15,25
16,13
16,25
16,25
16,18
16,13
16,9
16,13
16,13
18,20
17,21
17,20
17,20
17,11
17,21
11,17
21,12
17,20
18,24
18,20
18,17
18,11
18,11
18,17
18,20
18,17
18,20
11,18
18,11
19,13
13,16
24,20
19,16
24,19
19,23
22,19
19,25
18,20
20,17
4,18
20,4
18,20
18,20
18,24
18,17
18,19
21,12
21,24
21,3
21,12
11,18
12,11
12,21
21,12
21,12
21,17
19,22
23,24
22,24
22,24
3,19
26,13
22,3
19,22
24,9
19,24
23,22
19,3
23,24
23,24
23,22
23,24
24,21
24,11
7,18
24,11
24,21
20,21
25,26
25,16
25,13
25,26
25,16
25,16
25,15
25,26
25,16
25,26
25,26
25,16
26,2
26,13
26,25
26,25
26,25
26,25
26,2
25,26
