top1_class,top2_class
0,4
14,9
20,18
0,2
2,1
18,0
0,10
0,2
0,2
0,20
4,0
1,0
1,6
1,10
1,5
1,14
1,5
1,6
1,16
1,0
2,0
2,0
2,0
2,26
2,5
0,5
2,17
4,2
2,0
19,21
5,3
3,19
3,4
4,3
3,4
3,10
3,4
20,4
18,9
20,4
4,18
4,3
0,2
4,3
4,3
18,4
5,14
5,6
5,3
5,14
5,14
5,10
5,14
5,10
1,5
5,1
5,14
6,10
5,10
6,10
6,10
6,10
10,1
10,5
6,1
1,6
10,6
8,7
8,7
7,8
8,9
8,7
8,7
7,8
8,9
8,7
7,8
8,7
7,8
8,7
7,8
7,8
8,7
9,8
9,8
9,8
9,8
8,7
9,8
9,8
9,8
9,8
9,8
6,10
10,6
10,6
10,5
10,5
10,6
10,6
10,6
10,6
12,11
12,11
11,0
11,17
17,11
11,12
11,12
11,12
11,0
21,12
12,11
11,21
12,11
11,21
12,0
12,11
13,16
13,16
13,16
13,14
13,1
13,16
13,16
14,4
14,5
14,13
5,14
14,5
14,5
14,5
14,5
15,21
15,25
15,3
15,11
15,19
15,25
16,1
16,25
16,13
16,1
16,13
16,9
16,2
16,8
20,24
21,18
17,11
20,11
17,11
17,11
11,17
21,17
17,11
18,24
18,20
18,17
18,11
4,18
18,17
18,20
18,17
18,20
18,17
18,20
19,13
23,21
24,20
19,3
20,24
19,22
19,10
19,3
18,20
20,17
4,3
20,4
18,20
20,18
18,24
18,17
18,14
21,12
21,22
21,3
21,12
17,20
21,11
21,12
21,12
21,12
24,20
19,22
23,18
18,23
14,1
3,19
20,13
22,4
22,21
24,22
19,21
23,22
23,17
23,19
23,24
23,24
23,19
24,22
24,20
3,13
20,18
24,21
24,20
25,16
25,26
25,13
25,26
25,16
25,19
25,19
25,6
25,16
25,19
25,16
25,16
26,24
26,0
26,2
26,2
26,13
26,2
26,2
26,25
