top1_class,top2_class
0,4
1,14
4,18
0,26
26,0
0,18
0,1
0,2
0,2
0,18
4,24
1,0
1,0
1,10
1,5
1,2
1,5
1,6
16,19
1,0
2,0
2,0
2,4
2,26
2,4
2,0
2,0
2,4
2,0
3,4
3,1
14,3
3,4
3,4
3,4
3,19
3,4
4,18
4,24
4,20
4,18
4,3
2,4
4,3
4,18
18,20
5,1
5,6
5,3
5,14
5,14
11,13
5,14
5,4
5,1
1,5
5,14
6,10
5,1
6,10
6,10
6,10
6,10
5,0
1,6
1,6
6,1
8,7
8,7
8,7
7,8
8,9
8,7
7,8
9,8
8,7
7,8
8,7
7,8
8,7
8,7
7,8
8,7
9,8
9,18
9,8
9,8
7,26
9,8
9,8
9,8
9,20
9,8
6,10
10,6
10,6
10,5
10,6
10,6
10,6
10,6
10,6
12,11
12,11
11,18
17,11
17,11
11,12
11,0
12,20
11,17
21,12
12,11
11,21
12,11
11,21
12,0
12,11
13,6
13,16
13,16
13,14
13,1
13,14
13,16
14,6
3,5
13,14
14,1
14,5
5,14
14,5
14,16
15,21
15,16
15,2
15,12
15,19
15,3
16,13
16,25
16,25
16,25
16,26
16,8
16,6
16,13
8,17
21,17
24,17
24,17
11,17
11,17
18,17
21,12
17,20
24,18
18,20
18,20
18,20
18,26
18,20
18,20
18,20
18,20
18,20
18,26
19,11
19,21
20,18
3,19
24,20
19,22
22,19
19,3
18,20
20,17
4,2
20,0
18,20
18,20
18,21
1,18
18,19
21,12
21,12
21,12
21,12
18,17
12,21
12,21
21,12
21,20
24,21
22,19
22,23
24,22
19,22
3,12
22,24
4,22
24,22
22,23
22,19
23,22
23,24
23,22
23,22
23,24
23,19
24,21
24,21
13,12
24,20
24,21
22,24
25,16
25,16
25,13
25,26
25,16
25,16
25,16
25,26
25,16
25,26
25,26
25,16
26,2
26,0
26,2
26,2
26,2
26,18
26,18
26,25
