top1_class,top2_class
0,4
14,1
18,20
0,18
0,26
0,20
0,5
0,2
0,2
0,20
4,6
1,0
1,6
1,10
1,5
1,0
1,5
1,6
16,21
1,0
2,0
2,14
2,1
2,26
2,0
2,0
2,1
2,4
2,0
19,14
3,5
14,3
3,4
4,3
3,4
3,19
4,3
20,4
4,18
4,20
4,18
4,3
4,0
4,3
4,20
18,4
5,14
5,10
5,14
5,14
14,5
5,11
5,14
5,10
5,1
1,5
5,14
6,10
5,10
6,10
6,10
6,10
1,6
10,0
1,10
6,1
6,1
8,7
8,7
7,8
8,9
8,7
8,7
7,8
8,9
8,7
7,8
8,7
7,8
8,7
8,7
7,8
8,7
9,8
9,18
9,8
9,8
7,8
9,8
9,8
9,8
9,8
9,8
1,10
10,6
10,6
10,5
10,5
10,6
10,6
10,6
10,6
11,12
12,11
11,17
11,17
17,11
12,11
11,21
11,12
11,0
21,12
12,11
11,21
12,11
11,21
12,11
11,12
13,6
13,16
13,16
13,14
13,6
13,6
13,16
6,4
10,5
13,14
14,3
14,5
14,5
14,5
14,16
15,24
15,1
15,1
15,0
15,19
15,25
16,13
16,14
16,5
16,1
16,13
16,9
16,13
16,13
17,18
21,18
17,24
20,24
17,11
17,11
11,17
21,12
17,11
24,18
20,18
18,11
18,11
18,4
17,18
18,13
18,17
18,20
18,11
18,26
19,13
21,19
24,20
3,19
20,24
19,23
22,19
19,25
18,20
20,17
4,20
20,4
18,20
20,18
18,20
18,17
18,20
21,12
21,24
21,3
21,20
12,11
21,11
11,12
21,11
21,12
21,24
22,19
23,22
22,23
14,0
3,19
20,16
4,20
22,24
24,9
19,24
23,22
23,17
23,19
23,24
23,22
23,19
24,21
24,22
20,13
24,20
24,21
24,20
25,26
25,16
25,13
25,6
25,16
25,13
25,26
25,26
25,26
25,26
25,26
25,16
26,2
26,0
26,2
26,25
26,16
26,25
26,18
25,26
