top1_class,top2_class
0,4
14,1
20,18
0,20
26,0
0,18
5,0
0,2
0,2
0,17
4,3
1,14
1,14
1,10
1,5
1,10
1,5
1,10
19,3
1,0
2,0
2,4
2,4
26,25
2,4
2,0
2,0
2,18
2,0
3,19
5,3
14,3
3,4
4,3
3,4
3,4
4,3
20,4
9,24
4,18
4,20
4,20
2,4
4,3
20,18
4,20
5,14
5,6
5,3
5,14
14,5
5,1
5,14
5,4
10,1
5,1
5,14
6,13
5,10
6,10
6,13
6,1
1,10
6,5
6,1
6,1
5,6
8,7
8,7
8,7
9,8
8,7
8,7
7,8
8,9
8,7
7,8
8,7
8,7
8,7
8,9
7,8
8,7
9,8
9,8
9,8
9,8
7,8
9,8
9,8
9,10
9,8
9,8
6,1
10,6
10,6
10,6
10,1
10,1
10,6
10,20
10,6
12,21
12,11
11,17
17,11
11,17
1,12
11,12
11,17
11,0
19,21
12,11
21,11
21,11
11,21
12,11
12,11
13,16
13,16
13,16
13,14
13,16
13,6
13,16
14,5
14,13
14,13
14,6
14,5
14,5
14,5
14,16
15,24
15,25
15,3
15,4
15,22
15,22
16,13
16,25
16,25
16,18
16,13
16,9
16,13
16,13
20,18
20,21
24,17
20,17
17,11
17,21
11,18
21,17
17,11
24,18
18,17
18,20
18,20
18,20
18,20
18,20
18,17
18,20
11,18
18,20
19,13
19,22
19,22
3,4
24,20
19,14
23,10
19,13
18,19
20,4
4,20
20,18
18,20
20,18
18,20
18,4
19,14
21,12
21,24
21,12
21,12
11,12
21,11
3,12
3,21
21,12
20,17
19,23
23,22
22,23
23,14
3,19
24,20
22,4
22,19
22,23
19,22
23,22
13,16
23,19
23,22
23,22
23,19
24,20
24,20
13,7
20,24
24,21
21,20
25,26
25,16
25,13
25,6
25,16
25,13
25,19
25,6
25,16
25,26
25,15
25,16
26,2
26,2
26,25
26,25
26,25
26,25
26,2
25,26
