top1_class,top2_class
0,4
24,0
18,11
0,11
2,26
18,0
5,0
0,21
0,24
0,17
4,24
1,10
1,0
1,10
1,5
1,14
1,5
1,6
16,1
1,4
2,10
2,14
2,1
2,26
2,14
2,0
2,1
2,4
2,0
14,19
3,5
14,3
3,14
3,4
3,4
3,19
3,4
4,20
4,18
4,20
4,18
4,3
0,2
4,3
4,18
20,4
5,1
5,6
5,1
5,14
5,14
5,1
5,14
5,14
5,1
1,5
5,14
6,13
5,6
6,10
6,10
6,10
10,6
5,0
10,6
6,1
5,6
8,9
8,7
8,7
8,7
8,9
8,7
7,8
9,8
8,7
7,8
8,7
7,8
8,7
8,7
7,8
8,7
9,8
9,8
9,8
9,8
7,8
9,8
9,8
9,8
9,8
9,8
6,1
10,6
10,6
10,5
10,6
10,6
6,10
10,6
10,6
11,12
12,11
11,18
11,17
17,11
11,1
11,12
11,12
11,17
21,12
11,12
11,12
12,21
11,21
12,11
11,12
13,16
13,16
13,16
13,14
13,1
13,6
13,16
1,18
10,5
14,13
14,3
14,5
14,5
14,5
14,11
15,24
15,1
15,6
15,0
15,19
15,22
16,13
16,25
16,13
16,14
16,13
16,7
16,7
16,13
20,18
17,18
17,11
20,11
17,11
17,11
11,17
21,12
17,20
24,18
18,20
18,20
18,11
18,11
18,17
18,20
18,17
18,20
18,20
18,20
19,22
16,19
24,19
3,19
24,19
19,24
19,22
19,20
18,20
20,11
4,18
4,20
18,4
20,18
18,20
18,21
18,19
21,12
21,24
21,3
21,12
17,18
12,21
12,21
21,24
21,12
21,17
22,23
22,18
22,24
22,14
3,19
13,24
4,22
24,22
0,22
19,24
23,22
13,24
23,22
23,24
23,20
23,24
24,21
24,11
15,13
24,0
24,21
24,21
25,26
25,26
25,13
25,6
25,16
25,16
25,19
25,26
25,16
25,26
25,26
25,16
26,2
26,2
26,2
26,25
26,25
26,25
26,2
25,26
