top1_class,top2_class
0,4
0,9
20,11
0,11
26,0
0,2
0,5
0,2
0,2
0,2
4,1
1,14
1,6
1,10
1,5
1,14
1,5
1,6
21,19
1,0
2,6
2,14
2,26
2,26
2,4
2,0
2,0
2,4
2,0
19,14
3,5
5,14
3,4
4,3
3,4
24,3
4,3
4,20
4,24
4,20
4,18
4,0
2,0
4,3
4,18
4,20
5,14
5,19
5,14
5,14
5,14
5,10
5,14
5,20
5,1
5,1
5,14
6,10
5,6
6,10
6,10
6,1
6,10
5,2
1,6
6,1
5,6
8,7
8,7
7,8
8,7
8,7
7,8
7,8
8,9
7,8
7,8
8,7
7,8
8,7
7,8
8,7
8,7
9,8
9,7
9,8
9,8
7,8
9,8
9,8
9,8
9,8
9,8
1,6
10,6
10,6
10,6
10,6
10,6
6,10
10,6
10,6
11,12
12,11
11,5
17,11
17,11
11,14
11,12
11,17
11,17
21,24
12,11
11,21
21,11
11,14
12,0
11,12
13,6
13,16
13,14
13,14
13,6
13,6
13,16
14,5
10,6
14,13
14,5
14,5
5,14
5,14
14,5
15,24
15,16
15,24
15,7
15,22
15,24
16,13
16,25
16,25
16,14
16,13
16,9
16,13
16,13
8,20
24,21
17,24
17,20
17,11
17,11
11,17
21,24
17,11
24,18
18,11
18,11
18,11
18,11
18,17
18,20
18,20
18,20
11,20
18,20
19,5
5,19
24,20
3,4
24,20
19,22
22,23
19,25
18,20
20,4
4,20
4,20
18,20
18,20
18,20
18,17
18,20
21,12
21,24
21,24
21,12
11,17
21,11
21,11
21,11
21,11
17,24
22,23
22,23
22,26
22,14
3,22
20,24
22,4
24,21
24,0
19,22
23,22
23,24
23,22
23,22
23,24
23,24
24,11
24,11
20,15
24,20
24,21
24,21
25,26
25,16
25,13
25,6
25,26
25,1
25,26
25,26
25,26
25,26
25,26
25,16
26,2
26,2
26,2
26,2
26,2
26,2
26,20
25,26
