top1_class,top2_class
0,4
0,14
5,18
0,11
0,26
0,18
0,5
0,11
0,4
0,18
26,24
1,0
1,0
1,10
1,5
1,14
1,5
1,10
16,19
1,0
2,7
2,0
2,0
26,2
2,0
0,5
11,2
2,18
2,0
3,4
3,5
14,5
3,4
3,4
3,4
3,19
3,4
20,4
4,18
20,18
4,18
4,3
0,4
4,3
4,20
20,4
5,14
5,6
5,14
5,14
14,5
5,13
5,14
5,4
5,1
5,1
5,10
6,10
5,10
6,10
6,13
6,13
10,6
10,5
1,10
6,25
5,14
8,7
8,7
8,7
8,9
8,9
8,7
7,8
8,9
8,7
7,8
8,7
7,8
8,7
7,8
7,8
8,7
9,8
18,9
9,8
9,8
7,9
9,7
9,8
9,8
9,8
9,8
6,10
10,6
10,6
10,6
10,1
10,1
6,10
10,1
10,6
11,12
12,11
11,17
17,11
11,17
11,12
11,12
11,17
11,12
21,12
12,11
11,21
12,11
11,21
12,0
11,12
13,10
13,16
13,14
13,14
13,6
13,6
13,16
14,5
10,14
13,14
14,3
14,5
14,5
5,14
14,16
15,24
15,24
15,3
15,21
15,16
15,25
16,13
16,25
16,13
16,18
16,13
16,13
16,13
16,13
20,18
18,17
17,11
24,18
17,11
17,11
11,17
17,21
17,11
18,24
18,20
18,20
18,11
18,11
18,17
18,17
18,17
18,20
18,11
18,11
19,13
23,19
19,24
3,16
3,20
19,24
19,23
19,25
20,18
20,11
4,20
20,4
18,20
20,18
18,24
1,20
18,19
21,12
21,24
21,3
21,12
17,20
21,11
12,11
21,12
12,11
17,18
19,23
23,18
24,22
23,14
3,1
13,20
14,4
19,16
24,22
22,24
23,24
23,24
23,19
23,24
23,24
23,24
24,12
24,11
20,13
24,4
24,21
24,20
25,16
25,26
25,13
25,13
25,16
25,13
25,26
25,26
25,16
25,26
25,26
25,16
26,2
26,0
26,2
26,25
26,15
26,18
26,2
25,26
