top1_class,top2_class
0,4
14,1
0,18
0,1
26,0
0,18
0,14
0,5
0,18
0,18
20,4
1,14
1,5
1,10
1,5
1,0
1,5
1,3
21,19
1,12
2,0
2,0
2,0
26,2
2,4
5,2
2,1
2,4
2,0
3,14
3,1
14,3
3,4
3,4
3,4
3,4
3,4
4,20
4,20
20,4
4,20
4,3
4,0
4,3
4,20
4,20
5,1
5,8
5,3
5,14
5,14
5,1
5,20
5,20
5,1
1,5
5,14
6,10
5,6
6,10
6,10
6,10
10,6
5,6
5,1
6,0
1,14
8,9
8,7
8,7
8,7
8,9
8,7
7,8
9,8
7,8
7,8
8,7
7,8
8,7
7,8
7,8
8,7
9,8
9,7
9,8
9,8
7,8
9,8
9,8
9,8
9,8
9,8
10,6
10,6
10,6
10,5
10,1
10,1
10,6
10,1
10,6
12,11
12,11
11,17
17,11
17,11
1,11
11,20
11,17
11,0
21,12
12,11
11,21
12,11
11,0
12,11
12,11
13,16
13,16
13,16
13,14
13,1
13,1
13,16
1,5
14,10
14,13
14,5
14,5
14,5
14,5
14,5
15,24
15,21
15,26
15,0
15,19
15,22
16,13
16,14
16,13
16,14
16,13
16,9
16,13
16,13
17,20
21,20
17,11
20,24
17,11
17,11
11,17
17,20
17,20
18,24
18,20
18,11
18,12
18,20
18,17
18,20
18,17
18,20
18,11
18,20
19,14
19,22
20,18
3,19
19,20
19,21
22,3
19,13
18,20
20,4
4,20
4,20
18,20
20,18
18,20
18,20
18,14
21,12
21,24
21,12
21,12
17,18
21,12
21,12
21,17
11,17
20,17
22,23
24,23
16,20
14,22
3,20
20,24
20,4
21,24
22,18
22,24
23,22
13,23
23,19
23,22
23,24
23,19
18,20
24,20
3,20
24,8
24,21
24,20
25,16
25,16
25,26
25,26
25,16
25,16
25,16
25,26
25,16
25,26
25,26
25,16
26,18
26,0
26,2
26,25
26,0
26,18
26,20
25,1
