top1_class,top2_class
0,4
14,0
20,0
0,18
0,11
0,2
14,0
0,6
0,2
0,2
24,4
1,14
1,0
1,10
1,5
1,14
1,14
1,10
16,3
1,3
2,6
2,0
2,4
2,26
2,4
2,0
2,1
2,4
2,0
14,19
3,14
14,3
3,4
4,3
3,4
3,10
4,3
20,4
4,3
4,20
4,20
4,3
4,0
4,3
4,20
4,20
5,14
5,6
5,14
5,14
5,19
5,10
5,10
5,4
5,1
1,5
5,14
6,13
5,1
6,10
6,10
6,10
6,1
5,10
6,1
1,6
1,10
8,7
8,7
7,8
7,8
8,9
8,7
7,8
9,8
7,8
7,8
8,7
7,8
8,7
7,8
7,8
8,7
9,8
9,7
9,8
9,8
7,8
9,8
9,8
9,8
9,8
9,8
6,10
10,6
10,6
10,5
10,5
10,5
6,10
10,6
10,6
11,12
12,11
11,17
17,11
17,11
11,12
11,12
2,17
11,0
21,12
12,11
11,21
12,11
11,21
12,11
11,12
13,10
13,16
13,16
13,14
13,1
13,14
13,16
14,4
5,3
14,13
14,5
14,5
14,5
14,5
14,5
15,21
15,21
15,24
15,0
15,19
15,25
16,13
16,25
16,13
16,13
16,13
16,9
16,13
16,13
24,8
17,21
17,11
24,20
11,17
17,21
11,17
21,17
17,20
24,18
20,18
18,20
18,11
18,26
18,17
18,17
18,20
18,20
18,11
18,11
19,13
19,22
24,20
19,3
24,21
19,21
23,22
19,3
18,20
20,17
4,20
20,0
18,17
18,20
18,24
18,17
19,18
21,12
21,24
21,3
21,12
20,17
21,11
12,11
21,12
21,11
17,24
19,22
22,23
22,24
22,20
3,22
13,23
22,4
22,19
18,24
24,22
23,22
23,17
23,22
23,24
23,18
23,19
24,22
24,11
5,20
24,20
24,21
17,11
25,16
25,16
25,13
25,6
25,16
25,13
25,16
25,26
25,16
25,26
25,16
25,16
2,26
26,0
2,26
26,25
26,25
26,13
26,18
25,26
