top1_class,top2_class
0,4
14,0
18,20
0,5
0,26
0,18
0,5
0,6
0,2
0,18
1,0
1,14
1,6
1,10
1,5
1,14
1,5
1,6
1,16
1,0
2,0
2,0
2,0
26,2
2,0
2,0
2,0
2,4
2,0
4,19
3,14
19,5
3,14
3,4
3,4
3,19
3,4
20,4
18,24
4,20
4,18
4,3
4,0
4,3
3,4
18,4
5,14
5,10
5,14
5,14
5,14
5,10
5,14
5,4
5,10
5,1
5,14
6,10
5,1
6,10
6,10
6,10
6,10
5,6
6,5
1,6
10,5
8,9
8,7
7,8
8,7
8,7
8,7
7,8
8,9
7,8
7,8
8,7
7,8
8,7
8,7
7,8
8,7
9,8
9,7
9,8
9,8
7,8
9,8
9,8
9,8
9,18
9,8
6,1
10,6
10,6
10,6
10,1
10,1
6,10
10,1
10,6
12,11
12,11
11,12
17,11
17,11
11,12
11,18
12,11
11,17
21,24
12,21
11,21
12,11
11,21
12,11
11,12
13,6
13,16
13,16
13,14
13,16
13,1
13,16
14,6
5,13
13,14
14,5
14,5
14,5
5,14
14,16
15,24
15,1
15,24
15,0
15,19
15,22
16,1
16,14
16,6
16,14
16,13
16,9
16,6
16,6
24,17
21,18
17,11
20,11
17,11
17,11
11,17
17,21
17,20
24,18
18,20
18,20
18,20
18,11
18,17
18,17
18,17
18,20
20,18
18,11
19,13
17,18
19,18
3,4
24,19
19,14
19,10
19,13
18,20
20,17
4,20
20,4
18,20
20,18
18,24
18,17
18,14
21,12
21,18
21,12
21,12
18,20
11,21
12,11
21,11
21,12
20,21
22,19
23,2
22,23
22,14
3,19
20,13
22,4
19,24
0,24
19,22
23,24
13,25
23,19
23,24
23,20
23,19
24,21
24,21
7,2
17,24
24,21
20,24
25,26
25,26
25,13
25,13
25,26
25,19
25,19
25,6
25,16
25,19
25,26
25,16
26,2
26,0
26,2
26,0
26,16
26,13
26,20
25,26
