top1_class,top2_class
0,4
14,1
18,20
0,5
0,2
0,20
5,12
0,2
0,20
0,20
4,3
1,14
1,0
1,10
1,5
1,14
1,5
1,6
1,3
1,0
2,20
2,0
2,26
26,2
2,9
0,5
2,1
2,14
2,0
3,19
3,5
5,3
3,4
4,3
3,4
3,19
4,3
4,20
18,20
4,20
4,18
4,0
0,4
4,3
4,18
4,18
5,14
5,19
5,3
5,14
5,19
5,1
5,14
5,6
5,1
1,5
5,10
6,10
5,10
6,10
6,10
6,10
1,6
0,5
1,6
6,1
1,10
8,7
8,7
8,7
8,7
8,9
7,8
7,8
8,9
7,8
7,8
8,9
7,8
8,7
8,7
7,8
8,7
9,8
9,7
9,8
9,8
7,9
9,8
9,8
9,8
9,8
9,8
10,6
10,6
10,6
10,6
10,1
10,1
10,6
10,6
10,6
11,12
12,11
11,12
17,11
17,11
12,11
11,12
12,11
11,1
21,12
12,21
11,21
12,11
11,21
12,11
11,12
13,6
13,16
13,16
13,14
13,6
13,6
13,16
14,5
10,1
13,14
14,5
14,5
5,14
5,14
14,5
15,24
15,25
15,10
15,20
15,22
15,24
16,13
16,15
16,14
16,15
16,13
16,13
16,13
16,13
17,20
17,18
17,20
20,17
17,11
17,20
11,17
17,21
17,20
24,4
18,17
18,20
18,12
18,11
18,17
18,20
18,17
18,20
18,11
18,20
19,11
19,16
24,20
19,3
24,20
19,23
23,22
19,23
18,20
20,24
4,18
20,4
18,20
18,20
18,21
18,20
19,18
21,12
21,18
21,12
21,12
17,11
21,12
12,11
21,24
21,12
17,21
22,19
23,22
22,15
22,24
3,22
13,26
22,4
22,19
24,0
19,22
23,22
23,13
23,22
23,24
23,20
23,24
24,11
24,11
7,13
24,11
24,21
24,20
25,26
25,26
25,13
25,1
25,15
25,16
25,19
25,26
25,16
25,15
25,15
25,16
26,18
26,2
26,15
26,2
26,15
26,2
26,2
25,26
