top1_class,top2_class
0,4
14,24
18,4
0,4
2,26
0,18
24,0
0,2
0,26
0,18
4,15
0,1
1,6
1,10
1,5
1,14
1,5
1,10
16,19
1,0
2,0
2,0
2,26
2,26
2,4
2,0
2,0
2,4
2,0
19,14
3,1
14,5
3,14
3,4
3,4
24,3
4,3
4,20
20,4
4,20
4,18
4,3
2,0
4,3
4,20
4,18
5,12
5,6
5,14
5,14
14,5
5,11
5,14
5,20
5,14
5,1
5,14
6,10
5,6
6,10
6,10
6,10
6,10
5,6
1,6
1,6
6,1
8,7
8,7
8,7
8,9
8,7
8,7
7,8
9,8
8,7
7,8
8,7
8,7
8,7
9,7
7,8
8,7
9,8
9,7
9,8
9,8
9,7
9,8
9,8
9,8
9,8
9,8
6,1
10,6
10,6
10,6
10,1
10,6
6,10
10,1
10,6
12,11
12,11
11,18
17,11
11,12
12,11
11,18
11,12
11,12
21,12
12,11
11,12
12,11
11,12
12,11
11,12
13,25
13,16
13,14
13,14
13,1
13,14
13,16
14,4
14,6
14,13
14,5
14,5
14,5
14,5
14,16
15,24
15,1
15,0
15,0
15,24
15,22
16,13
16,25
16,25
16,14
16,25
16,13
16,13
16,13
24,18
20,18
17,11
17,24
11,17
11,21
17,11
21,12
17,11
18,24
18,20
18,17
18,20
18,4
18,17
18,20
18,17
20,18
18,20
18,11
19,13
21,22
24,18
3,19
24,14
19,23
23,22
19,13
18,20
20,4
4,20
4,20
18,20
20,18
18,24
4,0
18,23
21,12
21,24
21,12
21,12
11,12
12,21
12,24
21,12
21,12
21,17
19,22
23,19
24,23
22,23
3,12
26,24
22,4
22,24
24,0
19,24
23,22
23,19
23,19
23,22
23,22
23,22
24,12
24,23
13,15
24,22
24,21
24,21
25,16
25,16
25,13
25,26
25,26
25,15
25,15
25,6
25,1
25,26
25,15
25,16
2,26
26,2
26,2
26,25
26,25
26,2
26,18
26,25
